IATA_CODE,AIRLINE,IMAGE
UA,United Air Lines Inc.,united.png
AA,American Airlines Inc.,american-airlines.png
US,US Airways Inc.,us.png
F9,Frontier Airlines Inc.,frontier.png
B6,JetBlue Airways,jetblue.png
OO,Skywest Airlines Inc.,sktywest.png
AS,Alaska Airlines Inc.,alaska.png
NK,Spirit Air Lines,spirit.png
WN,Southwest Airlines Co.,southwest.png
DL,Delta Air Lines Inc.,delta.png
EV,Atlantic Southeast Airlines,southwest.png
HA,Hawaiian Airlines Inc.,hawa.png
MQ,American Eagle Airlines Inc.,american-airlines.png
VX,Virgin America,virgini.png
